Time,Num,Group,Latitude,Longitude,NumPoint,ValidPoint,NoValidPoint,SeqValid,Diam_Km,Wind_M_s,Stage,Sat,StartCell,EndCell,DateSelect,DateStart,DateEnd
26-Apr-2015 14:37:00,38,NaN,58.5988488568039,-19.3205324443722,11,11,0,1111111111,345,NaN,2,2,368,378,26-Apr-2015 14:37:00,25-Apr-2015 21:42:00,27-Apr-2015 13:41:00
19-Nov-2015 12:01:00,41,NaN,66.8737080294758,3.1106965065167,6,6,0,11111,205,NaN,2,1,401,406,19-Nov-2015 12:01:00,19-Nov-2015 04:12:00,20-Nov-2015 01:41:00
19-Nov-2015 12:01:00,42,NaN,67.3882120047122,-16.1627334706089,3,3,0,11,205,NaN,2,1,407,409,19-Nov-2015 12:01:00,19-Nov-2015 05:51:00,19-Nov-2015 13:55:00
25-Nov-2015 14:44:00,43,NaN,60.896835616952,-53.8173837102458,7,7,0,111111,291,NaN,2,1,410,416,25-Nov-2015 14:44:00,25-Nov-2015 01:18:00,26-Nov-2015 01:59:00
27-Nov-2015 16:22:00,44,NaN,64.0199534404637,-36.7237664066792,6,6,0,11111,1,NaN,2,2,417,422,27-Nov-2015 16:22:00,27-Nov-2015 12:52:00,28-Nov-2015 04:10:00
28-Nov-2015 00:10:00,45,NaN,64.9716976046567,-32.7736359845333,4,4,0,111,223,NaN,2,1,423,426,28-Nov-2015 00:10:00,27-Nov-2015 22:32:00,28-Nov-2015 05:47:00
29-Nov-2015 23:58:00,46,NaN,63.6320104030991,-39.5786867618419,4,4,0,111,391,NaN,2,1,427,430,29-Nov-2015 23:58:00,29-Nov-2015 22:20:00,30-Nov-2015 03:57:00
06-Dec-2015 00:58:00,47,NaN,60.4904277842148,-51.0589733328976,5,5,0,1111,199,NaN,2,1,431,435,06-Dec-2015 00:58:00,05-Dec-2015 15:20:00,06-Dec-2015 06:38:00
08-Dec-2015 14:13:00,48,NaN,59.0860658513832,-51.1674872183179,10,10,0,111111111,138,NaN,2,1,436,445,08-Dec-2015 14:13:00,08-Dec-2015 00:47:00,09-Dec-2015 05:32:00
31-Dec-2015 04:53:00,60,NaN,58.5808681517607,-29.7626079430759,6,6,0,11111,263,NaN,2,2,579,584,31-Dec-2015 04:53:00,30-Dec-2015 23:13:00,31-Dec-2015 22:19:00
