Time,Num,Latitude,Longitude,Diam
01-Jan-2015 00:00:00,1,57.3204912782496,-52.2094004835394,227.867346938776
01-Jan-2015 03:00:00,1,57.6305969931608,-51.5114740527319,245.868312757202
01-Jan-2015 06:00:00,1,57.8495041244731,-50.8462022971841,242.164609053498
01-Jan-2015 09:00:00,1,58.1411092545762,-50.3008287265146,277.72591006424
01-Jan-2015 12:00:00,1,58.4360956869487,-49.761031815607,315.113490364026
01-Jan-2015 15:00:00,1,58.6278605872504,-49.1495500888816,342.545454545455
01-Jan-2015 18:00:00,1,58.6370027769653,-48.4112413803251,352.363636363636
01-Jan-2015 12:00:00,2,62.3946514252994,-38.2654859648931,245.234693877551
01-Jan-2015 15:00:00,2,62.3946514252994,-38.2654859648931,254.418367346939
01-Jan-2015 18:00:00,2,62.4343421180317,-38.2795777238104,296.27027027027
01-Jan-2015 21:00:00,2,62.4822906058962,-38.296601325187,344.918918918919
02-Jan-2015 00:00:00,2,62.5584426116882,-38.3205542161601,398.444444444444
02-Jan-2015 03:00:00,2,62.7736423218666,-38.565603533137,405.475
02-Jan-2015 06:00:00,2,62.9235960174518,-38.8309251082877,375.5
02-Jan-2015 09:00:00,2,62.9235960174518,-38.8309251082877,374.289972899729
02-Jan-2015 12:00:00,2,62.9235960174518,-38.8309251082877,373.314363143631
02-Jan-2015 15:00:00,2,63.0266460597308,-38.7671812647383,358.884955752212
02-Jan-2015 18:00:00,2,63.1284990945857,-38.7030670410452,338.035230352304
02-Jan-2015 21:00:00,2,63.3299666360568,-38.5762476974766,260.962059620596
03-Jan-2015 00:00:00,2,63.5245096984287,-38.4606321328388,234.061224489796
03-Jan-2015 03:00:00,2,63.7937906100975,-38.322011170811,246.566666666667
03-Jan-2015 06:00:00,2,64.1987273872355,-38.5280827991442,255.244897959184
02-Jan-2015 12:00:00,3,55.2359299856353,-56.5277286324287,125.777777777778
02-Jan-2015 15:00:00,3,56.0577331035351,-55.8382712894844,172.444444444444
02-Jan-2015 18:00:00,3,56.9762903484791,-55.3498967468309,227.391025641026
02-Jan-2015 21:00:00,3,57.9853595187225,-55.0496319205784,290.083333333333
03-Jan-2015 00:00:00,3,58.9944286889658,-54.7493670943259,352.775641025641
03-Jan-2015 03:00:00,3,59.6043753434906,-54.8900965993368,417.131687242798
03-Jan-2015 06:00:00,3,60.0644409956653,-55.2772323203996,451.350515463918
03-Jan-2015 09:00:00,3,60.3643054251189,-55.9691718774542,502.087794432548
03-Jan-2015 12:00:00,3,60.6952932885965,-56.7965774491298,493.993576017131
03-Jan-2015 15:00:00,3,61.0262811520741,-57.6239830208055,485.899357601713
03-Jan-2015 18:00:00,3,61.4738648282313,-58.7903315405696,586.428571428571
07-Jan-2015 12:00:00,4,55.644709758051,-53.7026197126167,340.532110091743
07-Jan-2015 15:00:00,4,56.1383780048632,-52.5715684625566,386.770642201835
07-Jan-2015 18:00:00,4,56.5209907669109,-51.3421109289921,399.104925053533
07-Jan-2015 21:00:00,4,56.7445240507824,-49.9716930433805,362.873661670236
08-Jan-2015 00:00:00,4,56.9680573346538,-48.6012751577689,326.642398286938
08-Jan-2015 03:00:00,4,57.2751887408169,-47.4724204797516,354.481481481482
08-Jan-2015 06:00:00,4,57.6557017393878,-45.8485759308554,246.714285714286
08-Jan-2015 09:00:00,4,58.0986315002393,-43.5970532721845,-32.469387755102
08-Jan-2015 06:00:00,5,57.1961406387922,-54.5680189900085,140.141630901288
08-Jan-2015 09:00:00,5,57.2024790877738,-53.6479925909287,210.442060085837
08-Jan-2015 12:00:00,5,57.2088175367554,-52.7279661918489,280.742489270386
08-Jan-2015 15:00:00,5,57.2338620846842,-51.4763327927894,329.80612244898
08-Jan-2015 18:00:00,5,57.3414214391988,-49.7132040056846,334.53235908142
08-Jan-2015 21:00:00,5,57.461192897214,-47.9967037250121,339.041753653445
09-Jan-2015 00:00:00,5,57.5672328555742,-46.1315355567137,344.122448979592
09-Jan-2015 03:00:00,5,57.3995063242866,-44.4098009381839,271.390946502058
09-Jan-2015 06:00:00,5,57.1037860330186,-43.5731296456264,138.798353909465
11-Jan-2015 12:00:00,6,53.375425757647,-46.0435113380978,147.803738317757
11-Jan-2015 15:00:00,6,53.605808608087,-43.5455140357858,215.093457943925
11-Jan-2015 18:00:00,6,54.0009698225057,-40.9114075853463,252.922912205567
11-Jan-2015 21:00:00,6,54.5279537281073,-38.1684138164049,267.184154175589
12-Jan-2015 00:00:00,6,55.054937633709,-35.4254200474635,281.44539614561
12-Jan-2015 03:00:00,6,55.5819215393107,-32.6824262785221,295.706638115632
13-Jan-2015 00:00:00,7,58.2539996666285,-52.0845544332576,222.081967213115
13-Jan-2015 03:00:00,7,58.0763378880459,-51.4120289395003,313.55737704918
13-Jan-2015 06:00:00,7,57.9397606639855,-50.6869623980375,368.683673469388
13-Jan-2015 09:00:00,7,57.7139130395342,-50.3517782105101,343.077087794433
13-Jan-2015 12:00:00,7,57.4517073938113,-50.1249865844935,313.783725910064
13-Jan-2015 15:00:00,7,57.1046373277235,-49.7638959645296,307.51376146789
13-Jan-2015 18:00:00,7,56.3629972712566,-48.889153978515,323.640256959315
13-Jan-2015 21:00:00,7,55.5607214326455,-47.9873062517866,303.597430406852
14-Jan-2015 00:00:00,7,54.7466460831715,-47.0607743979372,284.412371134021
14-Jan-2015 03:00:00,7,53.5753641597264,-44.8866687565285,274.90243902439
14-Jan-2015 06:00:00,7,52.5772246164112,-42.5399549074882,235.390243902439
24-Jan-2015 12:00:00,9,60.2372117201052,-55.5687577874445,299.234693877551
