Time,Num,Group,Latitude,Longitude,NumPoint,ValidPoint,NoValidPoint,SeqValid,Diam_Km,Wind_M_s,Stage,Sat,StartCell,EndCell,DateSelect,DateStart,DateEnd
25-Feb-2015 06:08:00,29,NaN,76.4978065422225,1.46718719324294,8,0,8,0000000,262,NaN,2,2,298,305,25-Feb-2015 06:08:00,25-Feb-2015 01:13:00,25-Feb-2015 12:38:00
28-Feb-2015 16:22:00,30,NaN,60.2152232664865,-53.6209317435565,5,5,0,1111,185,NaN,2,2,306,310,28-Feb-2015 16:22:00,28-Feb-2015 06:44:00,01-Mar-2015 01:46:00
01-Mar-2015 04:13:00,31,NaN,53.1528506313875,-40.3095490184662,7,7,0,111111,325,NaN,2,2,311,317,01-Mar-2015 04:13:00,28-Feb-2015 14:32:00,01-Mar-2015 15:24:00
07-Mar-2015 01:08:00,32,NaN,53.7127393206878,-47.1470539406764,7,7,0,111111,408,NaN,2,1,318,324,07-Mar-2015 01:08:00,06-Mar-2015 13:56:00,07-Mar-2015 14:48:00
09-Mar-2015 06:39:00,33,NaN,57.9388852437006,-55.6503183301494,8,8,0,1111111,254,NaN,2,2,325,332,09-Mar-2015 06:39:00,09-Mar-2015 00:58:00,10-Mar-2015 01:39:00
14-Mar-2015 13:08:00,34,NaN,50.4621267582296,-41.1948446706536,4,4,0,111,236,NaN,2,1,333,336,14-Mar-2015 13:08:00,14-Mar-2015 05:21:00,14-Mar-2015 16:32:00
19-Mar-2015 14:55:00,35,NaN,72.2041679791396,8.53867996154951,9,1,8,00000001,149,NaN,2,1,337,345,19-Mar-2015 14:55:00,19-Mar-2015 08:45:00,19-Mar-2015 21:24:00
19-Mar-2015 10:22:00,36,NaN,72.3760345052864,13.8467129585773,6,0,6,00000,370,NaN,2,2,346,351,19-Mar-2015 10:22:00,19-Mar-2015 07:08:00,19-Mar-2015 18:08:00
23-Mar-2015 13:15:00,37,NaN,75.6579925702773,0.164506495324561,16,0,16,000000000000000,312,NaN,2,2,352,367,23-Mar-2015 13:15:00,23-Mar-2015 01:50:00,24-Mar-2015 04:13:00
26-Apr-2015 14:37:00,38,NaN,58.5988488568039,-19.3205324443722,11,11,0,1111111111,345,NaN,2,2,368,378,26-Apr-2015 14:37:00,25-Apr-2015 21:42:00,27-Apr-2015 13:41:00
26-Oct-2015 17:38:00,39,NaN,71.5714475280193,16.1006430251732,4,0,4,000,208,NaN,2,1,379,382,26-Oct-2015 17:38:00,26-Oct-2015 16:02:00,26-Oct-2015 20:54:00
19-Nov-2015 13:37:00,40,NaN,70.5881356958877,10.5469653196587,18,2,16,00000000000000011,371,NaN,2,1,383,400,19-Nov-2015 13:37:00,18-Nov-2015 19:22:00,20-Nov-2015 11:21:00
19-Nov-2015 12:01:00,41,NaN,66.8737080294758,3.1106965065167,6,6,0,11111,205,NaN,2,1,401,406,19-Nov-2015 12:01:00,19-Nov-2015 04:12:00,20-Nov-2015 01:41:00
19-Nov-2015 12:01:00,42,NaN,67.3882120047122,-16.1627334706089,3,3,0,11,205,NaN,2,1,407,409,19-Nov-2015 12:01:00,19-Nov-2015 05:51:00,19-Nov-2015 13:55:00
25-Nov-2015 14:44:00,43,NaN,60.896835616952,-53.8173837102458,7,7,0,111111,291,NaN,2,1,410,416,25-Nov-2015 14:44:00,25-Nov-2015 01:18:00,26-Nov-2015 01:59:00
27-Nov-2015 16:22:00,44,NaN,64.0199534404637,-36.7237664066792,6,6,0,11111,1,NaN,2,2,417,422,27-Nov-2015 16:22:00,27-Nov-2015 12:52:00,28-Nov-2015 04:10:00
28-Nov-2015 00:10:00,45,NaN,64.9716976046567,-32.7736359845333,4,4,0,111,223,NaN,2,1,423,426,28-Nov-2015 00:10:00,27-Nov-2015 22:32:00,28-Nov-2015 05:47:00
29-Nov-2015 23:58:00,46,NaN,63.6320104030991,-39.5786867618419,4,4,0,111,391,NaN,2,1,427,430,29-Nov-2015 23:58:00,29-Nov-2015 22:20:00,30-Nov-2015 03:57:00
06-Dec-2015 00:58:00,47,NaN,60.4904277842148,-51.0589733328976,5,5,0,1111,199,NaN,2,1,431,435,06-Dec-2015 00:58:00,05-Dec-2015 15:20:00,06-Dec-2015 06:38:00
